Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 25-44,29.9,Age 65 or older,12.7
Age 45-64,25.3,Age 18-24,24.3
Age 45-64,25.3,Age 25-44,29.9
Age 45-64,25.3,Age 65 or older,12.7
Age 65 or older,12.7,Age 18-24,24.3
Age 65 or older,12.7,Age 25-44,29.9
Age 65 or older,12.7,Age 45-64,25.3
Age 18-24,12.0,Age 25-44,17.3
Age 18-24,12.0,Age 45-64,15.9
Age 18-24,12.0,Age 65 or older,7.4
Age 25-44,17.3,Age 18-24,12.0
Age 25-44,17.3,Age 45-64,15.9
Age 25-44,17.3,Age 65 or older,7.4
Age 45-64,15.9,Age 18-24,12.0
Age 45-64,15.9,Age 25-44,17.3
Age 45-64,15.9,Age 65 or older,7.4
Age 65 or older,7.4,Age 18-24,12.0
Age 65 or older,7.4,Age 25-44,17.3
Age 65 or older,7.4,Age 45-64,15.9
Age 18-24,8.5,Age 25-44,11.5
Age 18-24,8.5,Age 45-64,10.4
Age 18-24,8.5,Age 65 or older,4.5
Age 25-44,11.5,Age 18-24,8.5
Age 25-44,11.5,Age 45-64,10.4
Age 25-44,11.5,Age 65 or older,4.5
Age 45-64,10.4,Age 18-24,8.5
Age 45-64,10.4,Age 25-44,11.5
Age 45-64,10.4,Age 65 or older,4.5
Age 65 or older,4.5,Age 18-24,8.5
Age 65 or older,4.5,Age 25-44,11.5
Age 65 or older,4.5,Age 45-64,10.4
Age 18-24,17.8,Age 25-44,25.7
Age 18-24,17.8,Age 45-64,15.1
Age 18-24,17.8,Age 65 or older,5.8
Age 25-44,25.7,Age 18-24,17.8
Age 25-44,25.7,Age 45-64,15.1
Age 25-44,25.7,Age 65 or older,5.8
Age 45-64,15.1,Age 18-24,17.8
Age 45-64,15.1,Age 25-44,25.7
Age 45-64,15.1,Age 65 or older,5.8
Age 65 or older,5.8,Age 18-24,17.8
Age 65 or older,5.8,Age 25-44,25.7
Age 65 or older,5.8,Age 45-64,15.1
Age 18-24,23.1,Age 25-44,23.5
Age 18-24,23.1,Age 45-64,19.5
Age 18-24,23.1,Age 65 or older,9.5
Age 25-44,23.5,Age 18-24,23.1
Age 25-44,23.5,Age 45-64,19.5
Age 25-44,23.5,Age 65 or older,9.5
Age 45-64,19.5,Age 18-24,23.1
Age 45-64,19.5,Age 25-44,23.5
Age 45-64,19.5,Age 65 or older,9.5
Age 65 or older,9.5,Age 18-24,23.1
Age 65 or older,9.5,Age 25-44,23.5
Age 65 or older,9.5,Age 45-64,19.5
Age 18-24,13.6,Age 25-44,18.7
Age 18-24,13.6,Age 45-64,16.7
Age 18-24,13.6,Age 65 or older,7.5
Age 25-44,18.7,Age 18-24,13.6
Age 25-44,18.7,Age 45-64,16.7
Age 25-44,18.7,Age 65 or older,7.5
Age 45-64,16.7,Age 18-24,13.6
Age 45-64,16.7,Age 25-44,18.7
Age 45-64,16.7,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,13.6
Age 65 or older,7.5,Age 25-44,18.7
Age 65 or older,7.5,Age 45-64,16.7
Age 18-24,26.6,Age 25-44,36.0
Age 18-24,26.6,Age 45-64,27.7
Age 18-24,26.6,Age 65 or older,12.7
Age 25-44,36.0,Age 18-24,26.6
Age 25-44,36.0,Age 45-64,27.7
Age 25-44,36.0,Age 65 or older,12.7
Age 45-64,27.7,Age 18-24,26.6
Age 45-64,27.7,Age 25-44,36.0
Age 45-64,27.7,Age 65 or older,12.7
Age 65 or older,12.7,Age 18-24,26.6
Age 65 or older,12.7,Age 25-44,36.0
Age 65 or older,12.7,Age 45-64,27.7
Age 18-24,16.9,Age 25-44,21.7
Age 18-24,16.9,Age 45-64,19.2
Age 18-24,16.9,Age 65 or older,7.5
Age 25-44,21.7,Age 18-24,16.9
Age 25-44,21.7,Age 45-64,19.2
Age 25-44,21.7,Age 65 or older,7.5
Age 45-64,19.2,Age 18-24,16.9
Age 45-64,19.2,Age 25-44,21.7
Age 45-64,19.2,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,16.9
Age 65 or older,7.5,Age 25-44,21.7
Age 65 or older,7.5,Age 45-64,19.2
Age 18-24,20.4,Age 25-44,24.6
Age 18-24,20.4,Age 45-64,19.2
Age 18-24,20.4,Age 65 or older,9.8
Age 25-44,24.6,Age 18-24,20.4
Age 25-44,24.6,Age 45-64,19.2
Age 25-44,24.6,Age 65 or older,9.8
Age 45-64,19.2,Age 18-24,20.4
Age 45-64,19.2,Age 25-44,24.6
Age 45-64,19.2,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,20.4
Age 65 or older,9.8,Age 25-44,24.6
Age 65 or older,9.8,Age 45-64,19.2
Age 18-24,21.1,Age 25-44,27.4
Age 18-24,21.1,Age 45-64,22.5
Age 18-24,21.1,Age 65 or older,10.2
Age 25-44,27.4,Age 18-24,21.1
Age 25-44,27.4,Age 45-64,22.5
Age 25-44,27.4,Age 65 or older,10.2
Age 45-64,22.5,Age 18-24,21.1
Age 45-64,22.5,Age 25-44,27.4
Age 45-64,22.5,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,21.1
Age 65 or older,10.2,Age 25-44,27.4
Age 65 or older,10.2,Age 45-64,22.5
Age 18-24,16.0,Age 25-44,23.7
Age 18-24,16.0,Age 45-64,19.5
Age 18-24,16.0,Age 65 or older,8.8
Age 25-44,23.7,Age 18-24,16.0
Age 25-44,23.7,Age 45-64,19.5
Age 25-44,23.7,Age 65 or older,8.8
Age 45-64,19.5,Age 18-24,16.0
Age 45-64,19.5,Age 25-44,23.7
Age 45-64,19.5,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,16.0
Age 65 or older,8.8,Age 25-44,23.7
Age 65 or older,8.8,Age 45-64,19.5
Age 18-24,10.8,Age 25-44,16.7
Age 18-24,10.8,Age 45-64,16.1
Age 18-24,10.8,Age 65 or older,8.8
Age 25-44,16.7,Age 18-24,10.8
Age 25-44,16.7,Age 45-64,16.1
Age 25-44,16.7,Age 65 or older,8.8
Age 45-64,16.1,Age 18-24,10.8
Age 45-64,16.1,Age 25-44,16.7
Age 45-64,16.1,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,10.8
Age 65 or older,8.8,Age 25-44,16.7
Age 65 or older,8.8,Age 45-64,16.1
Age 18-24,29.6,Age 25-44,32.9
Age 18-24,29.6,Age 45-64,23.8
Age 18-24,29.6,Age 65 or older,11.4
Age 25-44,32.9,Age 18-24,29.6
Age 25-44,32.9,Age 45-64,23.8
Age 25-44,32.9,Age 65 or older,11.4
Age 45-64,23.8,Age 18-24,29.6
Age 45-64,23.8,Age 25-44,32.9
Age 45-64,23.8,Age 65 or older,11.4
Age 65 or older,11.4,Age 18-24,29.6
Age 65 or older,11.4,Age 25-44,32.9
Age 65 or older,11.4,Age 45-64,23.8
Age 18-24,10.0,Age 25-44,13.8
Age 18-24,10.0,Age 45-64,13.0
Age 18-24,10.0,Age 65 or older,6.1
Age 25-44,13.8,Age 18-24,10.0
Age 25-44,13.8,Age 45-64,13.0
Age 25-44,13.8,Age 65 or older,6.1
Age 45-64,13.0,Age 18-24,10.0
Age 45-64,13.0,Age 25-44,13.8
Age 45-64,13.0,Age 65 or older,6.1
Age 65 or older,6.1,Age 18-24,10.0
Age 65 or older,6.1,Age 25-44,13.8
Age 65 or older,6.1,Age 45-64,13.0
Age 18-24,17.7,Age 25-44,17.2
Age 18-24,17.7,Age 45-64,17.1
Age 18-24,17.7,Age 65 or older,8.1
Age 25-44,17.2,Age 18-24,17.7
Age 25-44,17.2,Age 45-64,17.1
Age 25-44,17.2,Age 65 or older,8.1
Age 45-64,17.1,Age 18-24,17.7
Age 45-64,17.1,Age 25-44,17.2
Age 45-64,17.1,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,17.7
Age 65 or older,8.1,Age 25-44,17.2
Age 65 or older,8.1,Age 45-64,17.1
Age 18-24,9.9,Age 25-44,17.5
Age 18-24,9.9,Age 45-64,14.9
Age 18-24,9.9,Age 65 or older,7.3
Age 25-44,17.5,Age 18-24,9.9
Age 25-44,17.5,Age 45-64,14.9
Age 25-44,17.5,Age 65 or older,7.3
Age 45-64,14.9,Age 18-24,9.9
Age 45-64,14.9,Age 25-44,17.5
Age 45-64,14.9,Age 65 or older,7.3
Age 65 or older,7.3,Age 18-24,9.9
Age 65 or older,7.3,Age 25-44,17.5
Age 65 or older,7.3,Age 45-64,14.9
Age 18-24,15.3,Age 25-44,19.8
Age 18-24,15.3,Age 45-64,21.3
Age 18-24,15.3,Age 65 or older,8.7
Age 25-44,19.8,Age 18-24,15.3
Age 25-44,19.8,Age 45-64,21.3
Age 25-44,19.8,Age 65 or older,8.7
Age 45-64,21.3,Age 18-24,15.3
Age 45-64,21.3,Age 25-44,19.8
Age 45-64,21.3,Age 65 or older,8.7
Age 65 or older,8.7,Age 18-24,15.3
Age 65 or older,8.7,Age 25-44,19.8
Age 65 or older,8.7,Age 45-64,21.3
Age 18-24,No Data,Age 25-44,14.9
Age 18-24,No Data,Age 45-64,21.7
Age 18-24,No Data,Age 65 or older,10.2
Age 25-44,14.9,Age 18-24,No Data
Age 25-44,14.9,Age 45-64,21.7
Age 25-44,14.9,Age 65 or older,10.2
Age 45-64,21.7,Age 18-24,No Data
Age 45-64,21.7,Age 25-44,14.9
Age 45-64,21.7,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,No Data
Age 65 or older,10.2,Age 25-44,14.9
Age 65 or older,10.2,Age 45-64,21.7
Age 18-24,11.2,Age 25-44,19.6
Age 18-24,11.2,Age 45-64,19.5
Age 18-24,11.2,Age 65 or older,8.4
Age 25-44,19.6,Age 18-24,11.2
Age 25-44,19.6,Age 45-64,19.5
Age 25-44,19.6,Age 65 or older,8.4
Age 45-64,19.5,Age 18-24,11.2
Age 45-64,19.5,Age 25-44,19.6
Age 45-64,19.5,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,11.2
Age 65 or older,8.4,Age 25-44,19.6
Age 65 or older,8.4,Age 45-64,19.5
Age 18-24,10.6,Age 25-44,20.8
Age 18-24,10.6,Age 45-64,21.1
Age 18-24,10.6,Age 65 or older,10.2
Age 25-44,20.8,Age 18-24,10.6
Age 25-44,20.8,Age 45-64,21.1
Age 25-44,20.8,Age 65 or older,10.2
Age 45-64,21.1,Age 18-24,10.6
Age 45-64,21.1,Age 25-44,20.8
Age 45-64,21.1,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,10.6
Age 65 or older,10.2,Age 25-44,20.8
Age 65 or older,10.2,Age 45-64,21.1
Age 18-24,15.3,Age 25-44,19.0
Age 18-24,15.3,Age 45-64,13.8
Age 18-24,15.3,Age 65 or older,6.1
Age 25-44,19.0,Age 18-24,15.3
Age 25-44,19.0,Age 45-64,13.8
Age 25-44,19.0,Age 65 or older,6.1
Age 45-64,13.8,Age 18-24,15.3
Age 45-64,13.8,Age 25-44,19.0
Age 45-64,13.8,Age 65 or older,6.1
Age 65 or older,6.1,Age 18-24,15.3
Age 65 or older,6.1,Age 25-44,19.0
Age 65 or older,6.1,Age 45-64,13.8
Age 18-24,11.1,Age 25-44,16.4
Age 18-24,11.1,Age 45-64,16.0
Age 18-24,11.1,Age 65 or older,7.8
Age 25-44,16.4,Age 18-24,11.1
Age 25-44,16.4,Age 45-64,16.0
Age 25-44,16.4,Age 65 or older,7.8
Age 45-64,16.0,Age 18-24,11.1
Age 45-64,16.0,Age 25-44,16.4
Age 45-64,16.0,Age 65 or older,7.8
Age 65 or older,7.8,Age 18-24,11.1
Age 65 or older,7.8,Age 25-44,16.4
Age 65 or older,7.8,Age 45-64,16.0
Age 18-24,13.4,Age 25-44,17.0
Age 18-24,13.4,Age 45-64,17.4
Age 18-24,13.4,Age 65 or older,8.8
Age 25-44,17.0,Age 18-24,13.4
Age 25-44,17.0,Age 45-64,17.4
Age 25-44,17.0,Age 65 or older,8.8
Age 45-64,17.4,Age 18-24,13.4
Age 45-64,17.4,Age 25-44,17.0
Age 45-64,17.4,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,13.4
Age 65 or older,8.8,Age 25-44,17.0
Age 65 or older,8.8,Age 45-64,17.4
Age 18-24,24.4,Age 25-44,22.0
Age 18-24,24.4,Age 45-64,23.1
Age 18-24,24.4,Age 65 or older,10.9
Age 25-44,22.0,Age 18-24,24.4
Age 25-44,22.0,Age 45-64,23.1
Age 25-44,22.0,Age 65 or older,10.9
Age 45-64,23.1,Age 18-24,24.4
Age 45-64,23.1,Age 25-44,22.0
Age 45-64,23.1,Age 65 or older,10.9
Age 65 or older,10.9,Age 18-24,24.4
Age 65 or older,10.9,Age 25-44,22.0
Age 65 or older,10.9,Age 45-64,23.1
Age 18-24,18.6,Age 25-44,23.7
Age 18-24,18.6,Age 45-64,17.9
Age 18-24,18.6,Age 65 or older,9.7
Age 25-44,23.7,Age 18-24,18.6
Age 25-44,23.7,Age 45-64,17.9
Age 25-44,23.7,Age 65 or older,9.7
Age 45-64,17.9,Age 18-24,18.6
Age 45-64,17.9,Age 25-44,23.7
Age 45-64,17.9,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,18.6
Age 65 or older,9.7,Age 25-44,23.7
Age 65 or older,9.7,Age 45-64,17.9
Age 18-24,15.4,Age 25-44,22.1
Age 18-24,15.4,Age 45-64,19.7
Age 18-24,15.4,Age 65 or older,8.7
Age 25-44,22.1,Age 18-24,15.4
Age 25-44,22.1,Age 45-64,19.7
Age 25-44,22.1,Age 65 or older,8.7
Age 45-64,19.7,Age 18-24,15.4
Age 45-64,19.7,Age 25-44,22.1
Age 45-64,19.7,Age 65 or older,8.7
Age 65 or older,8.7,Age 18-24,15.4
Age 65 or older,8.7,Age 25-44,22.1
Age 65 or older,8.7,Age 45-64,19.7
Age 18-24,25.1,Age 25-44,32.3
Age 18-24,25.1,Age 45-64,28.0
Age 18-24,25.1,Age 65 or older,12.3
Age 25-44,32.3,Age 18-24,25.1
Age 25-44,32.3,Age 45-64,28.0
Age 25-44,32.3,Age 65 or older,12.3
Age 45-64,28.0,Age 18-24,25.1
Age 45-64,28.0,Age 25-44,32.3
Age 45-64,28.0,Age 65 or older,12.3
Age 65 or older,12.3,Age 18-24,25.1
Age 65 or older,12.3,Age 25-44,32.3
Age 65 or older,12.3,Age 45-64,28.0
Age 18-24,16.2,Age 25-44,26.1
Age 18-24,16.2,Age 45-64,25.5
Age 18-24,16.2,Age 65 or older,11.4
Age 25-44,26.1,Age 18-24,16.2
Age 25-44,26.1,Age 45-64,25.5
Age 25-44,26.1,Age 65 or older,11.4
Age 45-64,25.5,Age 18-24,16.2
Age 45-64,25.5,Age 25-44,26.1
Age 45-64,25.5,Age 65 or older,11.4
Age 65 or older,11.4,Age 18-24,16.2
Age 65 or older,11.4,Age 25-44,26.1
Age 65 or older,11.4,Age 45-64,25.5
Age 18-24,20.6,Age 25-44,28.3
Age 18-24,20.6,Age 45-64,19.6
Age 18-24,20.6,Age 65 or older,8.1
Age 25-44,28.3,Age 18-24,20.6
Age 25-44,28.3,Age 45-64,19.6
Age 25-44,28.3,Age 65 or older,8.1
Age 45-64,19.6,Age 18-24,20.6
Age 45-64,19.6,Age 25-44,28.3
Age 45-64,19.6,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,20.6
Age 65 or older,8.1,Age 25-44,28.3
Age 65 or older,8.1,Age 45-64,19.6
Age 18-24,13.0,Age 25-44,17.2
Age 18-24,13.0,Age 45-64,17.7
Age 18-24,13.0,Age 65 or older,7.6
Age 25-44,17.2,Age 18-24,13.0
Age 25-44,17.2,Age 45-64,17.7
Age 25-44,17.2,Age 65 or older,7.6
Age 45-64,17.7,Age 18-24,13.0
Age 45-64,17.7,Age 25-44,17.2
Age 45-64,17.7,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,13.0
Age 65 or older,7.6,Age 25-44,17.2
Age 65 or older,7.6,Age 45-64,17.7
Age 18-24,12.3,Age 25-44,16.7
Age 18-24,12.3,Age 45-64,15.2
Age 18-24,12.3,Age 65 or older,8.7
Age 25-44,16.7,Age 18-24,12.3
Age 25-44,16.7,Age 45-64,15.2
Age 25-44,16.7,Age 65 or older,8.7
Age 45-64,15.2,Age 18-24,12.3
Age 45-64,15.2,Age 25-44,16.7
Age 45-64,15.2,Age 65 or older,8.7
Age 65 or older,8.7,Age 18-24,12.3
Age 65 or older,8.7,Age 25-44,16.7
Age 65 or older,8.7,Age 45-64,15.2
Age 18-24,15.6,Age 25-44,27.6
Age 18-24,15.6,Age 45-64,22.7
Age 18-24,15.6,Age 65 or older,10.3
Age 25-44,27.6,Age 18-24,15.6
Age 25-44,27.6,Age 45-64,22.7
Age 25-44,27.6,Age 65 or older,10.3
Age 45-64,22.7,Age 18-24,15.6
Age 45-64,22.7,Age 25-44,27.6
Age 45-64,22.7,Age 65 or older,10.3
Age 65 or older,10.3,Age 18-24,15.6
Age 65 or older,10.3,Age 25-44,27.6
Age 65 or older,10.3,Age 45-64,22.7
Age 18-24,17.3,Age 25-44,19.9
Age 18-24,17.3,Age 45-64,17.2
Age 18-24,17.3,Age 65 or older,7.4
Age 25-44,19.9,Age 18-24,17.3
Age 25-44,19.9,Age 45-64,17.2
Age 25-44,19.9,Age 65 or older,7.4
Age 45-64,17.2,Age 18-24,17.3
Age 45-64,17.2,Age 25-44,19.9
Age 45-64,17.2,Age 65 or older,7.4
Age 65 or older,7.4,Age 18-24,17.3
Age 65 or older,7.4,Age 25-44,19.9
Age 65 or older,7.4,Age 45-64,17.2
Age 18-24,20.3,Age 25-44,26.5
Age 18-24,20.3,Age 45-64,26.5
Age 18-24,20.3,Age 65 or older,10.7
Age 25-44,26.5,Age 18-24,20.3
Age 25-44,26.5,Age 45-64,26.5
Age 25-44,26.5,Age 65 or older,10.7
Age 45-64,26.5,Age 18-24,20.3
Age 45-64,26.5,Age 25-44,26.5
Age 45-64,26.5,Age 65 or older,10.7
Age 65 or older,10.7,Age 18-24,20.3
Age 65 or older,10.7,Age 25-44,26.5
Age 65 or older,10.7,Age 45-64,26.5
Age 18-24,18.0,Age 25-44,29.6
Age 18-24,18.0,Age 45-64,23.7
Age 18-24,18.0,Age 65 or older,11.0
Age 25-44,29.6,Age 18-24,18.0
Age 25-44,29.6,Age 45-64,23.7
Age 25-44,29.6,Age 65 or older,11.0
Age 45-64,23.7,Age 18-24,18.0
Age 45-64,23.7,Age 25-44,29.6
Age 45-64,23.7,Age 65 or older,11.0
Age 65 or older,11.0,Age 18-24,18.0
Age 65 or older,11.0,Age 25-44,29.6
Age 65 or older,11.0,Age 45-64,23.7
Age 18-24,21.3,Age 25-44,25.3
Age 18-24,21.3,Age 45-64,19.2
Age 18-24,21.3,Age 65 or older,8.4
Age 25-44,25.3,Age 18-24,21.3
Age 25-44,25.3,Age 45-64,19.2
Age 25-44,25.3,Age 65 or older,8.4
Age 45-64,19.2,Age 18-24,21.3
Age 45-64,19.2,Age 25-44,25.3
Age 45-64,19.2,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,21.3
Age 65 or older,8.4,Age 25-44,25.3
Age 65 or older,8.4,Age 45-64,19.2
Age 18-24,17.4,Age 25-44,21.3
Age 18-24,17.4,Age 45-64,17.7
Age 18-24,17.4,Age 65 or older,8.8
Age 25-44,21.3,Age 18-24,17.4
Age 25-44,21.3,Age 45-64,17.7
Age 25-44,21.3,Age 65 or older,8.8
Age 45-64,17.7,Age 18-24,17.4
Age 45-64,17.7,Age 25-44,21.3
Age 45-64,17.7,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,17.4
Age 65 or older,8.8,Age 25-44,21.3
Age 65 or older,8.8,Age 45-64,17.7
Age 18-24,13.8,Age 25-44,23.2
Age 18-24,13.8,Age 45-64,15.8
Age 18-24,13.8,Age 65 or older,12.3
Age 25-44,23.2,Age 18-24,13.8
Age 25-44,23.2,Age 45-64,15.8
Age 25-44,23.2,Age 65 or older,12.3
Age 45-64,15.8,Age 18-24,13.8
Age 45-64,15.8,Age 25-44,23.2
Age 45-64,15.8,Age 65 or older,12.3
Age 65 or older,12.3,Age 18-24,13.8
Age 65 or older,12.3,Age 25-44,23.2
Age 65 or older,12.3,Age 45-64,15.8
Age 18-24,14.7,Age 25-44,19.9
Age 18-24,14.7,Age 45-64,18.1
Age 18-24,14.7,Age 65 or older,6.7
Age 25-44,19.9,Age 18-24,14.7
Age 25-44,19.9,Age 45-64,18.1
Age 25-44,19.9,Age 65 or older,6.7
Age 45-64,18.1,Age 18-24,14.7
Age 45-64,18.1,Age 25-44,19.9
Age 45-64,18.1,Age 65 or older,6.7
Age 65 or older,6.7,Age 18-24,14.7
Age 65 or older,6.7,Age 25-44,19.9
Age 65 or older,6.7,Age 45-64,18.1
Age 18-24,11.7,Age 25-44,17.1
Age 18-24,11.7,Age 45-64,14.3
Age 18-24,11.7,Age 65 or older,7.5
Age 25-44,17.1,Age 18-24,11.7
Age 25-44,17.1,Age 45-64,14.3
Age 25-44,17.1,Age 65 or older,7.5
Age 45-64,14.3,Age 18-24,11.7
Age 45-64,14.3,Age 25-44,17.1
Age 45-64,14.3,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,11.7
Age 65 or older,7.5,Age 25-44,17.1
Age 65 or older,7.5,Age 45-64,14.3
Age 18-24,16.4,Age 25-44,21.0
Age 18-24,16.4,Age 45-64,18.7
Age 18-24,16.4,Age 65 or older,10.8
Age 25-44,21.0,Age 18-24,16.4
Age 25-44,21.0,Age 45-64,18.7
Age 25-44,21.0,Age 65 or older,10.8
Age 45-64,18.7,Age 18-24,16.4
Age 45-64,18.7,Age 25-44,21.0
Age 45-64,18.7,Age 65 or older,10.8
Age 65 or older,10.8,Age 18-24,16.4
Age 65 or older,10.8,Age 25-44,21.0
Age 65 or older,10.8,Age 45-64,18.7
Age 18-24,14.0,Age 25-44,18.0
Age 18-24,14.0,Age 45-64,17.0
Age 18-24,14.0,Age 65 or older,8.1
Age 25-44,18.0,Age 18-24,14.0
Age 25-44,18.0,Age 45-64,17.0
Age 25-44,18.0,Age 65 or older,8.1
Age 45-64,17.0,Age 18-24,14.0
Age 45-64,17.0,Age 25-44,18.0
Age 45-64,17.0,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,14.0
Age 65 or older,8.1,Age 25-44,18.0
Age 65 or older,8.1,Age 45-64,17.0
Age 18-24,22.9,Age 25-44,21.8
Age 18-24,22.9,Age 45-64,20.6
Age 18-24,22.9,Age 65 or older,9.1
Age 25-44,21.8,Age 18-24,22.9
Age 25-44,21.8,Age 45-64,20.6
Age 25-44,21.8,Age 65 or older,9.1
Age 45-64,20.6,Age 18-24,22.9
Age 45-64,20.6,Age 25-44,21.8
Age 45-64,20.6,Age 65 or older,9.1
Age 65 or older,9.1,Age 18-24,22.9
Age 65 or older,9.1,Age 25-44,21.8
Age 65 or older,9.1,Age 45-64,20.6
Age 18-24,20.6,Age 25-44,22.8
Age 18-24,20.6,Age 45-64,20.1
Age 18-24,20.6,Age 65 or older,8.2
Age 25-44,22.8,Age 18-24,20.6
Age 25-44,22.8,Age 45-64,20.1
Age 25-44,22.8,Age 65 or older,8.2
Age 45-64,20.1,Age 18-24,20.6
Age 45-64,20.1,Age 25-44,22.8
Age 45-64,20.1,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,20.6
Age 65 or older,8.2,Age 25-44,22.8
Age 65 or older,8.2,Age 45-64,20.1
Age 18-24,22.2,Age 25-44,26.8
Age 18-24,22.2,Age 45-64,23.6
Age 18-24,22.2,Age 65 or older,9.9
Age 25-44,26.8,Age 18-24,22.2
Age 25-44,26.8,Age 45-64,23.6
Age 25-44,26.8,Age 65 or older,9.9
Age 45-64,23.6,Age 18-24,22.2
Age 45-64,23.6,Age 25-44,26.8
Age 45-64,23.6,Age 65 or older,9.9
Age 65 or older,9.9,Age 18-24,22.2
Age 65 or older,9.9,Age 25-44,26.8
Age 65 or older,9.9,Age 45-64,23.6
Age 18-24,22.3,Age 25-44,26.0
Age 18-24,22.3,Age 45-64,23.6
Age 18-24,22.3,Age 65 or older,13.0
Age 25-44,26.0,Age 18-24,22.3
Age 25-44,26.0,Age 45-64,23.6
Age 25-44,26.0,Age 65 or older,13.0
Age 45-64,23.6,Age 18-24,22.3
Age 45-64,23.6,Age 25-44,26.0
Age 45-64,23.6,Age 65 or older,13.0
Age 65 or older,13.0,Age 18-24,22.3
Age 65 or older,13.0,Age 25-44,26.0
Age 65 or older,13.0,Age 45-64,23.6
Age 18-24,19.1,Age 25-44,19.9
Age 18-24,19.1,Age 45-64,18.8
Age 18-24,19.1,Age 65 or older,8.9
Age 25-44,19.9,Age 18-24,19.1
Age 25-44,19.9,Age 45-64,18.8
Age 25-44,19.9,Age 65 or older,8.9
Age 45-64,18.8,Age 18-24,19.1
Age 45-64,18.8,Age 25-44,19.9
Age 45-64,18.8,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,19.1
Age 65 or older,8.9,Age 25-44,19.9
Age 65 or older,8.9,Age 45-64,18.8
Age 18-24,15.3,Age 25-44,23.8
Age 18-24,15.3,Age 45-64,19.9
Age 18-24,15.3,Age 65 or older,9.0
Age 25-44,23.8,Age 18-24,15.3
Age 25-44,23.8,Age 45-64,19.9
Age 25-44,23.8,Age 65 or older,9.0
Age 45-64,19.9,Age 18-24,15.3
Age 45-64,19.9,Age 25-44,23.8
Age 45-64,19.9,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,15.3
Age 65 or older,9.0,Age 25-44,23.8
Age 65 or older,9.0,Age 45-64,19.9
Age 18-24,11.5,Age 25-44,20.9
Age 18-24,11.5,Age 45-64,17.0
Age 18-24,11.5,Age 65 or older,7.5
Age 25-44,20.9,Age 18-24,11.5
Age 25-44,20.9,Age 45-64,17.0
Age 25-44,20.9,Age 65 or older,7.5
Age 45-64,17.0,Age 18-24,11.5
Age 45-64,17.0,Age 25-44,20.9
Age 45-64,17.0,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,11.5
Age 65 or older,7.5,Age 25-44,20.9
Age 65 or older,7.5,Age 45-64,17.0
Age 18-24,20.6,Age 25-44,24.1
Age 18-24,20.6,Age 45-64,21.9
Age 18-24,20.6,Age 65 or older,8.8
Age 25-44,24.1,Age 18-24,20.6
Age 25-44,24.1,Age 45-64,21.9
Age 25-44,24.1,Age 65 or older,8.8
Age 45-64,21.9,Age 18-24,20.6
Age 45-64,21.9,Age 25-44,24.1
Age 45-64,21.9,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,20.6
Age 65 or older,8.8,Age 25-44,24.1
Age 65 or older,8.8,Age 45-64,21.9
Age 18-24,23.6,Age 25-44,25.4
Age 18-24,23.6,Age 45-64,20.1
Age 18-24,23.6,Age 65 or older,9.8
Age 25-44,25.4,Age 18-24,23.6
Age 25-44,25.4,Age 45-64,20.1
Age 25-44,25.4,Age 65 or older,9.8
Age 45-64,20.1,Age 18-24,23.6
Age 45-64,20.1,Age 25-44,25.4
Age 45-64,20.1,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,23.6
Age 65 or older,9.8,Age 25-44,25.4
Age 65 or older,9.8,Age 45-64,20.1
Age 18-24,18.5,Age 25-44,24.1
Age 18-24,18.5,Age 45-64,25.9
Age 18-24,18.5,Age 65 or older,13.8
Age 25-44,24.1,Age 18-24,18.5
Age 25-44,24.1,Age 45-64,25.9
Age 25-44,24.1,Age 65 or older,13.8
Age 45-64,25.9,Age 18-24,18.5
Age 45-64,25.9,Age 25-44,24.1
Age 45-64,25.9,Age 65 or older,13.8
Age 65 or older,13.8,Age 18-24,18.5
Age 65 or older,13.8,Age 25-44,24.1
Age 65 or older,13.8,Age 45-64,25.9
